Word,SentenceID
could,t.01.01
humans,t.01.01
live,t.01.01
on,t.01.01
mars,t.01.01
some,t.01.01
day,t.01.01
scientists,t.01.02
ask,t.01.02
this,t.01.02
question,t.01.02
because,t.01.02
earth,t.01.02
and,t.01.02
mars,t.01.02
are,t.01.02
similar,t.01.02
similar,t.01.03
to,t.01.03
earth,t.01.03
day,t.01.03
mars,t.01.03
day,t.01.03
is,t.01.03
about,t.01.03
24,t.01.03
hours,t.01.03
long,t.01.03
also,t.01.04
both,t.01.04
planets,t.01.04
are,t.01.04
near,t.01.04
the,t.01.04
sun,t.01.04
in,t.01.04
our,t.01.04
solar,t.01.04
system,t.01.04
earth,t.01.05
is,t.01.05
the,t.01.05
3rd,t.01.05
planet,t.01.05
and,t.01.05
mars,t.01.05
the,t.01.05
4th,t.01.05
planet,t.01.05
from,t.01.05
the,t.01.05
sun,t.01.05
mars,t.01.06
also,t.01.06
has,t.01.06
an,t.01.06
axial,t.01.06
tilt,t.01.06
similar,t.01.06
to,t.01.06
earth,t.01.06
axial,t.01.06
tilt,t.01.06
an,t.01.07
axial,t.01.07
tilt,t.01.07
gives,t.01.07
both,t.01.07
planets,t.01.07
seasons,t.01.07
with,t.01.07
temperature,t.01.07
changes,t.01.07
just,t.01.08
like,t.01.08
earth,t.01.08
mars,t.01.08
has,t.01.08
cold,t.01.08
winters,t.01.08
and,t.01.08
warmer,t.01.08
summers,t.01.08
like,t.01.09
earth,t.01.09
mars,t.01.09
has,t.01.09
winds,t.01.09
weather,t.01.09
dust,t.01.09
storms,t.01.09
and,t.01.09
volcanoes,t.01.09
but,t.01.10
in,t.01.10
some,t.01.10
ways,t.01.10
earth,t.01.10
and,t.01.10
mars,t.01.10
are,t.01.10
different,t.01.10
differences,t.01.11
include,t.01.11
temperature,t.01.11
length,t.01.11
of,t.01.11
a,t.01.11
year,t.01.11
and,t.01.11
gravity,t.01.11
the,t.01.12
average,t.01.12
temperature,t.01.12
is,t.01.12
81,t.01.12
deg,t.01.12
f,t.01.12
on,t.01.12
mars,t.01.12
but,t.01.12
57,t.01.12
deg,t.01.12
f,t.01.12
on,t.01.12
earth,t.01.12
a,t.01.13
martian,t.01.13
year,t.01.13
is,t.01.13
almost,t.01.13
twice,t.01.13
as,t.01.13
long,t.01.13
as,t.01.13
an,t.01.13
earth,t.01.13
year,t.01.13
earth,t.01.14
gravity,t.01.14
is,t.01.14
almost,t.01.14
3,t.01.14
times,t.01.14
stronger,t.01.14
than,t.01.14
martian,t.01.14
gravity,t.01.14
given,t.01.15
the,t.01.15
similarities,t.01.15
can,t.01.15
humans,t.01.15
go,t.01.15
to,t.01.15
mars,t.01.15
and,t.01.15
live,t.01.15
there,t.01.15
nasa,t.01.16
scientists,t.01.16
want,t.01.16
to,t.01.16
answer,t.01.16
this,t.01.16
question,t.01.16
nasa,t.01.17
oversees,t.01.17
us,t.01.17
research,t.01.17
on,t.01.17
space,t.01.17
exploration,t.01.17
nasa,t.01.18
scientists,t.01.18
send,t.01.18
devices,t.01.18
called,t.01.18
spacecraft,t.01.18
to,t.01.18
explore,t.01.18
mars,t.01.18
the,t.01.19
spacecraft,t.01.19
carry,t.01.19
rovers,t.01.19
that,t.01.19
can,t.01.19
rove,t.01.19
or,t.01.19
move,t.01.19
around,t.01.19
these,t.01.20
wheeled,t.01.20
rovers,t.01.20
can,t.01.20
explore,t.01.20
characteristics,t.01.20
of,t.01.20
the,t.01.20
planet,t.01.20
they,t.01.21
can,t.01.21
also,t.01.21
show,t.01.21
land,t.01.21
characteristics,t.01.21
and,t.01.21
weather,t.01.21
on,t.01.21
mars,t.01.21
one,t.01.22
of,t.01.22
these,t.01.22
nasa,t.01.22
rovers,t.01.22
is,t.01.22
named,t.01.22
curiosity,t.01.22
curiosity,t.01.23
found,t.01.23
evidence,t.01.23
that,t.01.23
soil,t.01.23
on,t.01.23
mars,t.01.23
contains,t.01.23
2,t.01.23
water,t.01.23
nasa,t.01.24
has,t.01.24
planned,t.01.24
a,t.01.24
new,t.01.24
mission,t.01.24
called,t.01.24
mars,t.01.24
2020,t.01.24
this,t.01.25
mission,t.01.25
will,t.01.25
use,t.01.25
a,t.01.25
new,t.01.25
carsized,t.01.25
rover,t.01.25
to,t.01.25
examine,t.01.25
mars,t.01.25
the,t.01.26
new,t.01.26
rover,t.01.26
will,t.01.26
contain,t.01.26
additional,t.01.26
instruments,t.01.26
to,t.01.26
study,t.01.26
mars,t.01.26
for,t.01.27
example,t.01.27
one,t.01.27
instrument,t.01.27
will,t.01.27
take,t.01.27
images,t.01.27
beneath,t.01.27
mars,t.01.27
surface,t.01.27
another,t.01.28
instrument,t.01.28
will,t.01.28
attempt,t.01.28
to,t.01.28
make,t.01.28
oxygen,t.01.28
from,t.01.28
carbon,t.01.28
dioxide,t.01.28
mars,t.01.29
2020,t.01.29
will,t.01.29
help,t.01.29
scientists,t.01.29
answer,t.01.29
important,t.01.29
questions,t.01.29
it,t.01.30
will,t.01.30
explore,t.01.30
whether,t.01.30
there,t.01.30
has,t.01.30
been,t.01.30
life,t.01.30
on,t.01.30
mars,t.01.30
it,t.01.31
will,t.01.31
also,t.01.31
answer,t.01.31
whether,t.01.31
humans,t.01.31
can,t.01.31
live,t.01.31
on,t.01.31
mars,t.01.31
in,t.01.31
the,t.01.31
future,t.01.31
how,t.02.01
can,t.02.01
engineers,t.02.01
help,t.02.01
prevent,t.02.01
spills,t.02.01
of,t.02.01
oil,t.02.01
from,t.02.01
supertankers,t.02.01
supertankers,t.02.02
are,t.02.02
huge,t.02.02
ships,t.02.02
that,t.02.02
carry,t.02.02
oil,t.02.02
over,t.02.02
the,t.02.02
oceans,t.02.02
a,t.02.03
supertanker,t.02.03
can,t.02.03
contain,t.02.03
about,t.02.03
a,t.02.03
halfmillion,t.02.03
tons,t.02.03
of,t.02.03
oil,t.02.03
a,t.02.04
supertanker,t.02.04
is,t.02.04
the,t.02.04
size,t.02.04
of,t.02.04
about,t.02.04
five,t.02.04
football,t.02.04
fields,t.02.04
a,t.02.05
supertanker,t.02.05
cargo,t.02.05
area,t.02.05
could,t.02.05
hold,t.02.05
the,t.02.05
empire,t.02.05
state,t.02.05
building,t.02.05
most,t.02.06
of,t.02.06
the,t.02.06
world,t.02.06
oil,t.02.06
is,t.02.06
transported,t.02.06
by,t.02.06
these,t.02.06
supertankers,t.02.06
disasters,t.02.07
occur,t.02.07
when,t.02.07
wrecked,t.02.07
supertankers,t.02.07
spill,t.02.07
oil,t.02.07
into,t.02.07
the,t.02.07
ocean,t.02.07
as,t.02.08
a,t.02.08
result,t.02.08
of,t.02.08
these,t.02.08
oil,t.02.08
spills,t.02.08
the,t.02.08
environment,t.02.08
is,t.02.08
damaged,t.02.08
in,t.02.09
1967,t.02.09
a,t.02.09
supertanker,t.02.09
crashed,t.02.09
near,t.02.09
the,t.02.09
shores,t.02.09
of,t.02.09
england,t.02.09
this,t.02.10
crash,t.02.10
resulted,t.02.10
in,t.02.10
washing,t.02.10
ashore,t.02.10
200000,t.02.10
dead,t.02.10
seabirds,t.02.10
in,t.02.11
1989,t.02.11
another,t.02.11
supertanker,t.02.11
spilled,t.02.11
oil,t.02.11
into,t.02.11
alaska,t.02.11
coast,t.02.11
the,t.02.12
spilled,t.02.12
11,t.02.12
million,t.02.12
gallons,t.02.12
of,t.02.12
oil,t.02.12
caused,t.02.12
1000,t.02.12
otters,t.02.12
to,t.02.12
die,t.02.12
oil,t.02.13
spills,t.02.13
from,t.02.13
supertankers,t.02.13
also,t.02.13
kill,t.02.13
drifting,t.02.13
microscopic,t.02.13
plants,t.02.13
these,t.02.14
plants,t.02.14
provide,t.02.14
food,t.02.14
for,t.02.14
sea,t.02.14
life,t.02.14
such,t.02.14
as,t.02.14
whales,t.02.14
and,t.02.14
shrimp,t.02.14
the,t.02.15
plants,t.02.15
also,t.02.15
produce,t.02.15
70,t.02.15
percent,t.02.15
of,t.02.15
the,t.02.15
world,t.02.15
oxygen,t.02.15
supply,t.02.15
oil,t.02.16
spills,t.02.16
result,t.02.16
partly,t.02.16
from,t.02.16
limitations,t.02.16
in,t.02.16
engineering,t.02.16
supertankers,t.02.17
lack,t.02.17
double,t.02.17
bottom,t.02.17
hulls,t.02.17
for,t.02.17
extra,t.02.17
protection,t.02.17
supertankers,t.02.18
lack,t.02.18
extra,t.02.18
power,t.02.18
and,t.02.18
steering,t.02.18
equipment,t.02.18
for,t.02.18
safety,t.02.18
supertankers,t.02.19
also,t.02.19
have,t.02.19
only,t.02.19
one,t.02.19
boiler,t.02.19
to,t.02.19
provide,t.02.19
the,t.02.19
ship,t.02.19
power,t.02.19
supertankers,t.02.20
have,t.02.20
only,t.02.20
one,t.02.20
propeller,t.02.20
to,t.02.20
steer,t.02.20
the,t.02.20
huge,t.02.20
ship,t.02.20
lack,t.02.21
of,t.02.21
such,t.02.21
backup,t.02.21
components,t.02.21
causes,t.02.21
problems,t.02.21
during,t.02.21
emergencies,t.02.21
emergencies,t.02.22
for,t.02.22
supertankers,t.02.22
are,t.02.22
ocean,t.02.22
storms,t.02.22
and,t.02.22
coastal,t.02.22
reefs,t.02.22
solutions,t.02.23
to,t.02.23
problems,t.02.23
with,t.02.23
supertankers,t.02.23
include,t.02.23
three,t.02.23
tactics,t.02.23
supertankers,t.02.24
must,t.02.24
be,t.02.24
built,t.02.24
with,t.02.24
added,t.02.24
hulls,t.02.24
boilers,t.02.24
and,t.02.24
propellers,t.02.24
these,t.02.25
provide,t.02.25
extra,t.02.25
safety,t.02.25
control,t.02.25
and,t.02.25
backup,t.02.25
in,t.02.25
emergencies,t.02.25
also,t.02.26
officers,t.02.26
need,t.02.26
top,t.02.26
training,t.02.26
to,t.02.26
run,t.02.26
and,t.02.26
maneuver,t.02.26
their,t.02.26
ships,t.02.26
supertanker,t.02.27
simulators,t.02.27
at,t.02.27
some,t.02.27
facilities,t.02.27
provide,t.02.27
top,t.02.27
training,t.02.27
finally,t.02.28
ground,t.02.28
control,t.02.28
stations,t.02.28
should,t.02.28
be,t.02.28
installed,t.02.28
near,t.02.28
the,t.02.28
shore,t.02.28
ground,t.02.29
control,t.02.29
stations,t.02.29
would,t.02.29
act,t.02.29
like,t.02.29
airplane,t.02.29
control,t.02.29
towers,t.02.29
they,t.02.30
would,t.02.30
guide,t.02.30
supertankers,t.02.30
safely,t.02.30
on,t.02.30
the,t.02.30
oceans,t.02.30
along,t.02.30
coasts,t.02.30
this,t.02.31
ensures,t.02.31
safety,t.02.31
in,t.02.31
shipping,t.02.31
lanes,t.02.31
and,t.02.31
along,t.02.31
dangerous,t.02.31
coasts,t.02.31
two,t.03.01
important,t.03.01
math,t.03.01
concepts,t.03.01
are,t.03.01
combinations,t.03.01
and,t.03.01
permutations,t.03.01
combinations,t.03.02
and,t.03.02
permutations,t.03.02
are,t.03.02
similar,t.03.02
in,t.03.02
several,t.03.02
ways,t.03.02
both,t.03.03
refer,t.03.03
to,t.03.03
sets,t.03.03
of,t.03.03
objects,t.03.03
that,t.03.03
you,t.03.03
pick,t.03.03
and,t.03.03
arrange,t.03.03
in,t.03.03
order,t.03.03
a,t.03.04
set,t.03.04
could,t.03.04
be,t.03.04
the,t.03.04
numbers,t.03.04
1,t.03.04
through,t.03.04
9,t.03.04
or,t.03.04
available,t.03.04
pizza,t.03.04
toppings,t.03.04
for,t.03.05
combinations,t.03.05
and,t.03.05
permutations,t.03.05
items,t.03.05
are,t.03.05
selected,t.03.05
from,t.03.05
a,t.03.05
set,t.03.05
for,t.03.06
example,t.03.06
we,t.03.06
can,t.03.06
select,t.03.06
13,t.03.06
from,t.03.06
the,t.03.06
set,t.03.06
19,t.03.06
to,t.03.06
count,t.03.06
and,t.03.06
order,t.03.06
however,t.03.07
combinations,t.03.07
and,t.03.07
permutations,t.03.07
are,t.03.07
calculated,t.03.07
differently,t.03.07
when,t.03.08
we,t.03.08
compute,t.03.08
a,t.03.08
combination,t.03.08
the,t.03.08
item,t.03.08
order,t.03.08
does,t.03.08
not,t.03.08
matter,t.03.08
a,t.03.09
combination,t.03.09
of,t.03.09
1,t.03.09
2,t.03.09
3,t.03.09
is,t.03.09
the,t.03.09
same,t.03.09
as,t.03.09
the,t.03.09
combination,t.03.09
of,t.03.09
3,t.03.09
2,t.03.09
1,t.03.09
another,t.03.10
example,t.03.10
of,t.03.10
a,t.03.10
combination,t.03.10
is,t.03.10
picking,t.03.10
pizza,t.03.10
toppings,t.03.10
suppose,t.03.11
you,t.03.11
pick,t.03.11
three,t.03.11
toppings,t.03.11
cheese,t.03.11
pepperoni,t.03.11
and,t.03.11
sausage,t.03.11
you,t.03.12
can,t.03.12
also,t.03.12
say,t.03.12
that,t.03.12
you,t.03.12
pick,t.03.12
sausage,t.03.12
pepperoni,t.03.12
and,t.03.12
cheese,t.03.12
here,t.03.13
you,t.03.13
have,t.03.13
a,t.03.13
combination,t.03.13
of,t.03.13
three,t.03.13
things,t.03.13
in,t.03.13
two,t.03.13
different,t.03.13
orders,t.03.13
but,t.03.14
the,t.03.14
pizzas,t.03.14
you,t.03.14
get,t.03.14
are,t.03.14
the,t.03.14
same,t.03.14
because,t.03.14
the,t.03.14
order,t.03.14
does,t.03.14
matter,t.03.14
however,t.03.15
order,t.03.15
does,t.03.15
matter,t.03.15
when,t.03.15
we,t.03.15
compute,t.03.15
a,t.03.15
permutation,t.03.15
12,t.03.16
3,t.03.16
and,t.03.16
32,t.03.16
1,t.03.16
are,t.03.16
different,t.03.16
permutations,t.03.16
of,t.03.16
these,t.03.16
three,t.03.16
numbers,t.03.16
in,t.03.17
permutations,t.03.17
different,t.03.17
orders,t.03.17
of,t.03.17
items,t.03.17
have,t.03.17
different,t.03.17
meanings,t.03.17
imagine,t.03.18
you,t.03.18
can,t.03.18
pick,t.03.18
only,t.03.18
one,t.03.18
for,t.03.18
lunch,t.03.18
pizza,t.03.18
pasta,t.03.18
or,t.03.18
rice,t.03.18
you,t.03.19
say,t.03.19
pizza,t.03.19
is,t.03.19
your,t.03.19
favorite,t.03.19
and,t.03.19
rice,t.03.19
is,t.03.19
your,t.03.19
least,t.03.19
favorite,t.03.19
so,t.03.20
your,t.03.20
order,t.03.20
of,t.03.20
preference,t.03.20
is,t.03.20
1,t.03.20
pizza,t.03.20
2,t.03.20
pasta,t.03.20
and,t.03.20
3,t.03.20
rice,t.03.20
if,t.03.21
pizza,t.03.21
runs,t.03.21
out,t.03.21
the,t.03.21
waiter,t.03.21
will,t.03.21
give,t.03.21
you,t.03.21
pasta,t.03.21
and,t.03.21
not,t.03.21
rice,t.03.21
but,t.03.22
your,t.03.22
friend,t.03.22
may,t.03.22
have,t.03.22
a,t.03.22
different,t.03.22
order,t.03.22
of,t.03.22
preference,t.03.22
your,t.03.23
friend,t.03.23
order,t.03.23
could,t.03.23
be,t.03.23
1,t.03.23
rice,t.03.23
2,t.03.23
pasta,t.03.23
and,t.03.23
3,t.03.23
pizza,t.03.23
so,t.03.24
two,t.03.24
orders,t.03.24
of,t.03.24
the,t.03.24
same,t.03.24
items,t.03.24
mean,t.03.24
something,t.03.24
quite,t.03.24
different,t.03.24
permutation,t.03.25
allows,t.03.25
us,t.03.25
to,t.03.25
count,t.03.25
all,t.03.25
the,t.03.25
possible,t.03.25
orders,t.03.25
of,t.03.25
items,t.03.25
given,t.03.26
three,t.03.26
numbers,t.03.26
123,t.03.26
we,t.03.26
can,t.03.26
derive,t.03.26
6,t.03.26
permutations,t.03.26
these,t.03.27
include,t.03.27
123,t.03.27
132,t.03.27
213,t.03.27
231,t.03.27
312,t.03.27
321,t.03.27
these,t.03.28
sequences,t.03.28
in,t.03.28
different,t.03.28
orders,t.03.28
are,t.03.28
different,t.03.28
permutations,t.03.28
global,t.04.01
positioning,t.04.01
system,t.04.01
gps,t.04.01
is,t.04.01
a,t.04.01
system,t.04.01
that,t.04.01
helps,t.04.01
us,t.04.01
navigate,t.04.01
gps,t.04.02
is,t.04.02
a,t.04.02
system,t.04.02
of,t.04.02
24,t.04.02
or,t.04.02
more,t.04.02
satellites,t.04.02
in,t.04.02
space,t.04.02
these,t.04.03
satellites,t.04.03
orbit,t.04.03
at,t.04.03
about,t.04.03
12000,t.04.03
miles,t.04.03
above,t.04.03
the,t.04.03
earth,t.04.03
different,t.04.04
satellites,t.04.04
orbit,t.04.04
the,t.04.04
earth,t.04.04
in,t.04.04
different,t.04.04
locations,t.04.04
they,t.04.05
circle,t.04.05
the,t.04.05
earth,t.04.05
along,t.04.05
1,t.04.05
of,t.04.05
6,t.04.05
orbits,t.04.05
continuously,t.04.05
they,t.04.06
send,t.04.06
information,t.04.06
to,t.04.06
a,t.04.06
gps,t.04.06
receiver,t.04.06
on,t.04.06
earth,t.04.06
the,t.04.07
information,t.04.07
is,t.04.07
transmitted,t.04.07
across,t.04.07
space,t.04.07
via,t.04.07
radio,t.04.07
signals,t.04.07
radio,t.04.08
signals,t.04.08
travel,t.04.08
through,t.04.08
space,t.04.08
like,t.04.08
sound,t.04.08
waves,t.04.08
through,t.04.08
a,t.04.08
canyon,t.04.08
imagine,t.04.09
you,t.04.09
and,t.04.09
your,t.04.09
friend,t.04.09
are,t.04.09
at,t.04.09
different,t.04.09
sides,t.04.09
of,t.04.09
a,t.04.09
canyon,t.04.09
you,t.04.10
shout,t.04.10
to,t.04.10
your,t.04.10
friend,t.04.10
and,t.04.10
she,t.04.10
hears,t.04.10
you,t.04.10
after,t.04.10
a,t.04.10
short,t.04.10
delay,t.04.10
this,t.04.11
delay,t.04.11
is,t.04.11
the,t.04.11
time,t.04.11
that,t.04.11
sound,t.04.11
waves,t.04.11
need,t.04.11
to,t.04.11
reach,t.04.11
the,t.04.11
other,t.04.11
side,t.04.11
similarly,t.04.12
the,t.04.12
satellite,t.04.12
in,t.04.12
space,t.04.12
sends,t.04.12
a,t.04.12
radio,t.04.12
signal,t.04.12
at,t.04.12
one,t.04.12
time,t.04.12
after,t.04.13
a,t.04.13
delay,t.04.13
the,t.04.13
radio,t.04.13
signal,t.04.13
arrives,t.04.13
at,t.04.13
the,t.04.13
gps,t.04.13
receiver,t.04.13
on,t.04.13
earth,t.04.13
the,t.04.14
receiver,t.04.14
records,t.04.14
the,t.04.14
precise,t.04.14
time,t.04.14
when,t.04.14
the,t.04.14
radio,t.04.14
signal,t.04.14
arrives,t.04.14
it,t.04.15
then,t.04.15
calculates,t.04.15
the,t.04.15
difference,t.04.15
between,t.04.15
these,t.04.15
two,t.04.15
times,t.04.15
this,t.04.16
time,t.04.16
difference,t.04.16
is,t.04.16
the,t.04.16
travel,t.04.16
time,t.04.16
of,t.04.16
the,t.04.16
radio,t.04.16
signal,t.04.16
the,t.04.17
gps,t.04.17
uses,t.04.17
this,t.04.17
travel,t.04.17
time,t.04.17
to,t.04.17
figure,t.04.17
out,t.04.17
how,t.04.17
far,t.04.17
the,t.04.17
satellite,t.04.17
is,t.04.17
it,t.04.18
uses,t.04.18
the,t.04.18
formula,t.04.18
distance,t.04.18
,t.04.18
time,t.04.18
t,t.04.18
x,t.04.18
rate,t.04.18
of,t.04.18
transmission,t.04.18
c,t.04.18
t,t.04.19
is,t.04.19
the,t.04.19
travel,t.04.19
time,t.04.19
of,t.04.19
the,t.04.19
radio,t.04.19
signal,t.04.19
c,t.04.20
is,t.04.20
the,t.04.20
speed,t.04.20
of,t.04.20
light,t.04.20
more,t.04.20
than,t.04.20
186000,t.04.20
miles,t.04.20
per,t.04.20
second,t.04.20
t,t.04.21
x,t.04.21
c,t.04.21
calculates,t.04.21
the,t.04.21
distance,t.04.21
between,t.04.21
the,t.04.21
receiver,t.04.21
and,t.04.21
each,t.04.21
satellite,t.04.21
different,t.04.22
satellites,t.04.22
have,t.04.22
different,t.04.22
distances,t.04.22
from,t.04.22
the,t.04.22
receiver,t.04.22
this,t.04.23
information,t.04.23
helps,t.04.23
the,t.04.23
receiver,t.04.23
determine,t.04.23
its,t.04.23
location,t.04.23
on,t.04.23
earth,t.04.23
the,t.04.24
precise,t.04.24
location,t.04.24
is,t.04.24
calculated,t.04.24
based,t.04.24
on,t.04.24
geometry,t.04.24
of,t.04.24
distances,t.04.24
a,t.04.25
gps,t.04.25
device,t.04.25
that,t.04.25
you,t.04.25
carry,t.04.25
in,t.04.25
your,t.04.25
car,t.04.25
is,t.04.25
a,t.04.25
small,t.04.25
receiver,t.04.25
radio,t.04.26
signals,t.04.26
from,t.04.26
the,t.04.26
satellites,t.04.26
are,t.04.26
updated,t.04.26
as,t.04.26
the,t.04.26
device,t.04.26
moves,t.04.26
at,t.04.27
least,t.04.27
4,t.04.27
satellites,t.04.27
are,t.04.27
involved,t.04.27
to,t.04.27
pinpoint,t.04.27
the,t.04.27
device,t.04.27
location,t.04.27
gps,t.04.28
devices,t.04.28
provide,t.04.28
maps,t.04.28
and,t.04.28
directions,t.04.28
that,t.04.28
help,t.04.28
people,t.04.28
travel,t.04.28
engineers,t.05.01
design,t.05.01
electrical,t.05.01
circuits,t.05.01
to,t.05.01
power,t.05.01
homes,t.05.01
and,t.05.01
buildings,t.05.01
electrical,t.05.02
circuits,t.05.02
are,t.05.02
closed,t.05.02
paths,t.05.02
that,t.05.02
electricity,t.05.02
flows,t.05.02
through,t.05.02
this,t.05.03
means,t.05.03
that,t.05.03
the,t.05.03
entire,t.05.03
path,t.05.03
must,t.05.03
be,t.05.03
connected,t.05.03
like,t.05.03
a,t.05.03
loop,t.05.03
imagine,t.05.04
a,t.05.04
simple,t.05.04
circuit,t.05.04
made,t.05.04
with,t.05.04
a,t.05.04
battery,t.05.04
and,t.05.04
a,t.05.04
piece,t.05.04
of,t.05.04
wire,t.05.04
now,t.05.05
connect,t.05.05
each,t.05.05
end,t.05.05
of,t.05.05
the,t.05.05
wire,t.05.05
to,t.05.05
different,t.05.05
ends,t.05.05
of,t.05.05
the,t.05.05
battery,t.05.05
your,t.05.06
piece,t.05.06
of,t.05.06
wire,t.05.06
and,t.05.06
battery,t.05.06
now,t.05.06
make,t.05.06
a,t.05.06
circle,t.05.06
or,t.05.06
circular,t.05.06
path,t.05.06
one,t.05.07
end,t.05.07
of,t.05.07
the,t.05.07
battery,t.05.07
is,t.05.07
positive,t.05.07
and,t.05.07
the,t.05.07
other,t.05.07
end,t.05.07
negative,t.05.07
electrons,t.05.08
will,t.05.08
flow,t.05.08
across,t.05.08
this,t.05.08
circuit,t.05.08
through,t.05.08
the,t.05.08
wire,t.05.08
you,t.05.09
have,t.05.09
just,t.05.09
created,t.05.09
a,t.05.09
simple,t.05.09
electrical,t.05.09
circuit,t.05.09
removing,t.05.10
the,t.05.10
wire,t.05.10
from,t.05.10
the,t.05.10
battery,t.05.10
will,t.05.10
stop,t.05.10
the,t.05.10
flow,t.05.10
of,t.05.10
electrons,t.05.10
now,t.05.11
imagine,t.05.11
that,t.05.11
you,t.05.11
want,t.05.11
to,t.05.11
connect,t.05.11
the,t.05.11
battery,t.05.11
to,t.05.11
a,t.05.11
lightbulb,t.05.11
first,t.05.12
the,t.05.12
wire,t.05.12
is,t.05.12
cut,t.05.12
in,t.05.12
the,t.05.12
middle,t.05.12
and,t.05.12
breaks,t.05.12
the,t.05.12
circuit,t.05.12
then,t.05.13
a,t.05.13
lightbulb,t.05.13
is,t.05.13
inserted,t.05.13
to,t.05.13
reconnect,t.05.13
the,t.05.13
circuit,t.05.13
the,t.05.14
electrical,t.05.14
circuit,t.05.14
is,t.05.14
complete,t.05.14
again,t.05.14
and,t.05.14
electrons,t.05.14
are,t.05.14
flowing,t.05.14
electricity,t.05.15
now,t.05.15
flows,t.05.15
through,t.05.15
the,t.05.15
lightbulb,t.05.15
lighting,t.05.15
it,t.05.15
up,t.05.15
if,t.05.16
the,t.05.16
circuit,t.05.16
is,t.05.16
now,t.05.16
broken,t.05.16
the,t.05.16
lightbulb,t.05.16
will,t.05.16
go,t.05.16
out,t.05.16
you,t.05.17
can,t.05.17
also,t.05.17
add,t.05.17
a,t.05.17
switch,t.05.17
in,t.05.17
the,t.05.17
circuit,t.05.17
to,t.05.17
break,t.05.17
it,t.05.17
or,t.05.17
connect,t.05.17
it,t.05.17
this,t.05.18
allows,t.05.18
you,t.05.18
to,t.05.18
turn,t.05.18
on,t.05.18
or,t.05.18
turn,t.05.18
off,t.05.18
the,t.05.18
lightbulb,t.05.18
a,t.05.19
simple,t.05.19
electrical,t.05.19
circuit,t.05.19
contains,t.05.19
several,t.05.19
parts,t.05.19
these,t.05.20
include,t.05.20
a,t.05.20
source,t.05.20
a,t.05.20
path,t.05.20
and,t.05.20
a,t.05.20
resistor,t.05.20
the,t.05.21
source,t.05.21
provides,t.05.21
the,t.05.21
energy,t.05.21
to,t.05.21
an,t.05.21
electrical,t.05.21
circuit,t.05.21
in,t.05.22
our,t.05.22
example,t.05.22
above,t.05.22
the,t.05.22
source,t.05.22
is,t.05.22
the,t.05.22
battery,t.05.22
batteries,t.05.23
can,t.05.23
differ,t.05.23
in,t.05.23
voltage,t.05.23
the,t.05.23
electric,t.05.23
potential,t.05.23
or,t.05.23
force,t.05.23
the,t.05.24
path,t.05.24
is,t.05.24
the,t.05.24
closed,t.05.24
loop,t.05.24
with,t.05.24
wires,t.05.24
that,t.05.24
connect,t.05.24
to,t.05.24
the,t.05.24
source,t.05.24
electrons,t.05.25
flow,t.05.25
through,t.05.25
the,t.05.25
path,t.05.25
as,t.05.25
electric,t.05.25
currents,t.05.25
electric,t.05.26
currents,t.05.26
increase,t.05.26
with,t.05.26
increased,t.05.26
voltage,t.05.26
the,t.05.27
resistor,t.05.27
is,t.05.27
any,t.05.27
device,t.05.27
that,t.05.27
reduces,t.05.27
the,t.05.27
electric,t.05.27
current,t.05.27
it,t.05.28
creates,t.05.28
resistance,t.05.28
or,t.05.28
impedance,t.05.28
in,t.05.28
the,t.05.28
electrical,t.05.28
circuit,t.05.28
in,t.05.29
our,t.05.29
example,t.05.29
above,t.05.29
the,t.05.29
resistor,t.05.29
is,t.05.29
the,t.05.29
lightbulb,t.05.29
electric,t.05.30
currents,t.05.30
decrease,t.05.30
with,t.05.30
increased,t.05.30
resistance,t.05.30